population,friendships,time
550,15125,2.0742199420928955
550,15125,2.0392260551452637
550,15125,2.0429887771606445
550,15125,2.0905611515045166
550,15125,2.0876777172088623
550,15125,2.0939505100250244
550,15125,2.090094566345215
550,15125,2.080540180206299
550,15125,2.051391363143921
550,15125,2.068699359893799
550,15125,2.0771279335021973
550,15125,2.0543508529663086
550,15125,2.0694587230682373
600,18000,2.1183862686157227
600,18000,2.0965425968170166
600,18000,2.069532871246338
600,18000,2.0605239868164062
600,18000,2.058472156524658
600,18000,2.064727783203125
600,18000,2.0385355949401855
600,18000,2.0414443016052246
600,18000,2.038738965988159
600,18000,2.033996820449829
600,18000,2.086055040359497
600,18000,2.0539143085479736
600,18000,2.079245090484619
600,18000,2.0568864345550537
600,18000,2.0379416942596436
600,18000,2.0523533821105957
600,18000,2.095669984817505
600,18000,2.0608391761779785
600,18000,2.0546507835388184
600,18000,2.0570778846740723
600,18000,2.0650482177734375
600,18000,2.0981674194335938
600,18000,2.084009885787964
600,18000,2.079923629760742
600,18000,2.071598529815674
600,18000,2.059386968612671
600,18000,2.0381226539611816
600,18000,2.0604732036590576
600,18000,2.0618138313293457
600,18000,2.068624973297119
650,21125,2.0768542289733887
650,21125,2.066155195236206
650,21125,2.066985845565796
650,21125,2.0532658100128174
650,21125,2.0516180992126465
650,21125,2.0128984451293945
650,21125,2.0568268299102783
650,21125,2.022326946258545
650,21125,2.0471465587615967
650,21125,2.05318284034729
650,21125,2.0558133125305176
650,21125,2.048074722290039
650,21125,2.0789756774902344
650,21125,2.073338031768799
650,21125,2.0755856037139893
650,21125,2.06052303314209
650,21125,2.0497100353240967
650,21125,2.0536723136901855
650,21125,2.057967185974121
650,21125,2.044890880584717
650,21125,2.069343090057373
650,21125,2.057770252227783
650,21125,2.0545947551727295
650,21125,2.0513341426849365
650,21125,2.0406341552734375
650,21125,2.0254361629486084
650,21125,2.0750043392181396
650,21125,2.067140579223633
650,21125,2.0668928623199463
650,21125,2.0579171180725098
700,24500,2.05597186088562
700,24500,2.0878570079803467
700,24500,2.0583136081695557
700,24500,2.0374374389648438
700,24500,2.039285898208618
700,24500,2.0988316535949707
700,24500,2.0524187088012695
700,24500,2.0661511421203613
700,24500,2.0546727180480957
700,24500,2.077528953552246
700,24500,2.060800552368164
700,24500,2.05948805809021
700,24500,2.060863733291626
700,24500,2.077512741088867
700,24500,2.038062810897827
700,24500,2.048840045928955
700,24500,2.0573906898498535
700,24500,2.049135446548462
700,24500,2.0599987506866455
700,24500,2.0479142665863037
700,24500,2.0767438411712646
700,24500,2.085115671157837
700,24500,2.0684072971343994
700,24500,2.0701472759246826
700,24500,2.066044330596924
700,24500,2.070789337158203
700,24500,2.068138837814331
700,24500,2.0695319175720215
700,24500,2.074416160583496
700,24500,2.068634033203125
750,28125,2.0187764167785645
750,28125,2.0452427864074707
750,28125,2.0521910190582275
750,28125,2.068455696105957
750,28125,2.0673828125
750,28125,2.0596373081207275
750,28125,2.0590593814849854
750,28125,2.068760395050049
750,28125,2.074093818664551
750,28125,2.0541293621063232
750,28125,2.0505149364471436
750,28125,2.0503334999084473
750,28125,2.055854558944702
750,28125,2.0554537773132324
750,28125,2.036435604095459
750,28125,2.042003870010376
750,28125,2.0382080078125
750,28125,2.0732502937316895
750,28125,2.0501585006713867
750,28125,2.0516762733459473
750,28125,2.0712318420410156
